"タイトル","説明","品物番号","定価",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.9 kg<br>器具光束：915 lm　<br>電圧：100～242 V　<br>消費電力：8.1 W　<br>消費効率：112.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>制御方式：無線通信920MHz帯（WiLIA）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【専用コントローラ（別売）】設定操作用タブレットEx NQ51181U<br>【専用コントローラ（別売）】マルチマネージャーEx NQ51101Z<br>【専用コントローラ（別売）】LS／無線信号変換インターフェースNK51113<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>入力電流（100V時）：0.081 A<br>入力電流（200V時）：0.044 A<br>入力電流（242V時）：0.039 A<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは185mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1006WLK RY9","26200",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.9 kg<br>器具光束：915 lm　<br>電圧：100～242 V　<br>消費電力：8.1 W　<br>消費効率：112.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>制御方式：無線通信920MHz帯（WiLIA）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【専用コントローラ（別売）】設定操作用タブレットEx NQ51181U<br>【専用コントローラ（別売）】マルチマネージャーEx NQ51101Z<br>【専用コントローラ（別売）】LS／無線信号変換インターフェースNK51113<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>入力電流（100V時）：0.081 A<br>入力電流（200V時）：0.044 A<br>入力電流（242V時）：0.039 A<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは185mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007SLK RY9","26200",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.9 kg<br>器具光束：2225 lm　<br>電圧：100～242 V　<br>消費電力：19.7 W　<br>消費効率：112.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>制御方式：無線通信920MHz帯（WiLIA）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【専用コントローラ（別売）】設定操作用タブレットEx NQ51181U<br>【専用コントローラ（別売）】マルチマネージャーEx NQ51101Z<br>【専用コントローラ（別売）】LS／無線信号変換インターフェースNK51113<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>入力電流（100V時）：0.199 A<br>入力電流（200V時）：0.101 A<br>入力電流（242V時）：0.086 A<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは185mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2506BLK RY9","42700",
"天井埋込型　LED（昼白色）　ダウンライト　高演色・ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1310 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：112.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、高演色・ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra95<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1507BAK LJ9","32500",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：2100 lm　<br>電圧：100～242 V　<br>消費電力：18.6 W　<br>消費効率：112.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.196 A<br>入力電流（200V時）：0.096 A<br>入力電流（242V時）：0.082 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2506BYK LJ9","42200",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：2145 lm　<br>電圧：100～242 V　<br>消費電力：19 W　<br>消費効率：112.8 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ブラックつや消し仕上）<br>【枠】鋼板（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.198 A<br>入力電流（200V時）：0.1 A<br>入力電流（242V時）：0.086 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2509BYK DD9","46100",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.9 kg<br>器具光束：1455 lm　<br>電圧：100～242 V　<br>消費電力：12.9 W　<br>消費効率：112.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>制御方式：無線通信920MHz帯（WiLIA）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【専用コントローラ（別売）】設定操作用タブレットEx NQ51181U<br>【専用コントローラ（別売）】マルチマネージャーEx NQ51101Z<br>【専用コントローラ（別売）】LS／無線信号変換インターフェースNK51113<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>入力電流（100V時）：0.131 A<br>入力電流（200V時）：0.068 A<br>入力電流（242V時）：0.058 A<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは185mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1505SNK RY9","32300",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FHT42形1灯器具相当　LED 200形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1690 lm　<br>電圧：100～242 V　<br>消費電力：15 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.156 A<br>入力電流（200V時）：0.078 A<br>入力電流（242V時）：0.067 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2005SLK LE9","33800",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：2095 lm　<br>電圧：100～242 V　<br>消費電力：18.6 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.196 A<br>入力電流（200V時）：0.096 A<br>入力電流（242V時）：0.082 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2506WYK LE9","38600",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.9 kg<br>器具光束：2220 lm　<br>電圧：100～242 V　<br>消費電力：19.7 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>制御方式：無線通信920MHz帯（WiLIA）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【専用コントローラ（別売）】設定操作用タブレットEx NQ51181U<br>【専用コントローラ（別売）】マルチマネージャーEx NQ51101Z<br>【専用コントローラ（別売）】LS／無線信号変換インターフェースNK51113<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>入力電流（100V時）：0.199 A<br>入力電流（200V時）：0.101 A<br>入力電流（242V時）：0.086 A<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは185mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2506WLK RY9","42700",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：2140 lm　<br>電圧：100～242 V　<br>消費電力：19 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ブラックつや消し仕上）<br>【枠】鋼板（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.198 A<br>入力電流（200V時）：0.1 A<br>入力電流（242V時）：0.086 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2508BYK DD9","46100",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT42形1灯器具相当　LED 200形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1690 lm　<br>電圧：100～242 V　<br>消費電力：15 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.156 A<br>入力電流（200V時）：0.078 A<br>入力電流（242V時）：0.067 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2005SLK LJ9","37400",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　水銀灯100形1灯器具相当　LED 250形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：2095 lm　<br>電圧：100～242 V　<br>消費電力：18.6 W　<br>消費効率：112.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.196 A<br>入力電流（200V時）：0.096 A<br>入力電流（242V時）：0.082 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2506WYK LJ9","42200",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1305 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：112.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1505SYK LE9","27700",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：855 lm　<br>電圧：100～242 V　<br>消費電力：7.6 W　<br>消費効率：112.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.078 A<br>入力電流（200V時）：0.041 A<br>入力電流（242V時）：0.035 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1005BVK DD9","30500",
"天井埋込型　LED（電球色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：855 lm　<br>電圧：100～242 V　<br>消費電力：7.6 W　<br>消費効率：112.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.078 A<br>入力電流（200V時）：0.041 A<br>入力電流（242V時）：0.035 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007BYK DD9","30500",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角25度・中角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT42形1灯器具相当　LED 200形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1710 lm　<br>電圧：100～242 V　<br>消費電力：15.2 W　<br>消費効率：112.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角25度・中角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>中角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.156 A<br>入力電流（200V時）：0.077 A<br>入力電流（242V時）：0.065 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2005BVK DD9","43500",
