"タイトル","説明","品物番号","定価","note","isCombo",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　反射笠付型　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1225 mm　<br/>高：80 mm<br/>質量：2.2 kg<br/>器具光束：3920 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：25 W　<br/>消費効率：156.8 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・4000 lmタイプ・ウィズリモ・昼白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX449KEN RC9","29200","","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・4000 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EN DZ9","33200","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・4000 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EN DZ9","32100","受注品","1",
"天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　マルチコンフォート／フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：4.7 kg<br/>器具光束：5690 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：156.7 lm/W<br/>【本体】亜鉛鋼板<br/>【ルーバ】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、マルチコンフォートタイプ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向30度／縦方向15度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX465FHN LA9","62900","","",
"天井埋込型　40形　一体型LEDベースライト　マルチコンフォート／フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：4.7 kg<br/>器具光束：5690 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：156.7 lm/W<br/>【本体】亜鉛鋼板<br/>【ルーバ】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、マルチコンフォートタイプ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>遮光角：横方向30度／縦方向15度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）調光はできません。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX465FHN LE9","59900","","",
"天井埋込型　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42762J","65900","","1",
"学校用　天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　スクールコンフォート　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1254 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：85 mm<br/>質量：3.2 kg<br/>器具光束：8770 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：156.6 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、スクールコンフォートタイプ・一般タイプ・10000 lmタイプ・白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向24度<br/>800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX408GEW LR9","60700","","",
"学校用　天井埋込型　40形　一体型LEDベースライト　スクールコンフォート　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1254 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：85 mm<br/>質量：3.2 kg<br/>器具光束：8770 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：156.6 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、スクールコンフォートタイプ・一般タイプ・10000 lmタイプ・白色<br/>Ra83<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX408GEW LE9","57700","","",
"学校用　天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　スクールコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：240 mm　<br/>長：1254 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：90 mm<br/>質量：3.3 kg<br/>器具光束：6750 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：43.1 W　<br/>消費効率：156.6 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井埋込型、スクールコンフォートタイプ・一般タイプ・6900 lmタイプ・ウィズリモ・昼白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX467GEN RC9","45000","","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600EN DZ9","49000","受注品","1",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.1 kg<br/>器具光束：4990 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：31.9 W　<br/>消費効率：156.4 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・5200 lmタイプ・ウィズリモ・白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）ガードは使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450AEW RC9","31050","受注品","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.4 kg<br/>器具光束：4990 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：31.9 W　<br/>消費効率：156.4 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・5200 lmタイプ・ウィズリモ・白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）ガードは使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450DEW RC9","31250","受注品","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：50 mm<br/>質量：1.7 kg<br/>器具光束：4990 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：31.9 W　<br/>消費効率：156.4 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・5200 lmタイプ・ウィズリモ・白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）ガードは使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450NEW RC9","31050","受注品","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：70 mm<br/>質量：2.7 kg<br/>器具光束：4990 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：31.9 W　<br/>消費効率：156.4 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・5200 lmタイプ・ウィズリモ・白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459DEW RC9","32500","受注品","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：70 mm<br/>質量：1.9 kg<br/>器具光束：4990 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：31.9 W　<br/>消費効率：156.4 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井直付型、一般タイプ・5200 lmタイプ・ウィズリモ・白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459NEW RC9","32200","受注品","",
"学校用　天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ウィズリモ用送信器別売）　スクールコンフォート　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：240 mm　<br/>長：1254 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：90 mm<br/>質量：3.3 kg<br/>器具光束：3910 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：25 W　<br/>消費効率：156.4 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>制御方式：赤外線通信（ウィズリモ）<br/>天井埋込型、スクールコンフォートタイプ・一般タイプ・4000 lmタイプ・ウィズリモ・昼白色<br/>Ra83<br/>【専用コントローラ（別売）】ウィズリモ／高天井ひとセンサ付兼用送信器NQ55000J<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）ウィズリモ／高天井ひとセンサ付兼用送信器と組み合わせてご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）ウィズリモタイプは、器具全体が視認できる場所に水平に設置ください。ルーバ天井や斜天井、造作物の内部には設置できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX447GEN RC9","37500","","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・4000 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EN DZ9","41500","受注品","1",
